userID,qID,ratings
1,1,4.0
1,2,4.0
1,3,5.0
1,4,4.0
1,5,3.0
1,6,5.0
1,7,5.0
1,8,1.0
1,9,4.0
1,10,5.0
1,11,1.0
1,12,1.0
1,13,1.0
1,14,3.0
1,15,5.0
1,16,4.0
1,17,3.0
1,18,4.0
1,19,5.0
1,20,5.0
1,21,5.0
1,22,3.0
1,23,4.0
1,24,2.0
1,25,2.0
1,26,2.0
1,27,2.0
1,28,2.0
1,29,3.0
1,30,1.0
1,31,2.0
1,32,2.0
1,33,4.0
1,34,4.0
1,35,5.0
2,1,3.0
2,2,4.0
2,3,5.0
2,4,3.0
2,5,3.0
2,6,2.0
2,7,4.0
2,8,3.0
2,9,5.0
2,10,3.0
2,11,2.0
2,12,2.0
2,13,2.0
2,14,3.0
2,15,4.0
2,16,5.0
2,17,4.0
2,18,3.0
2,19,4.0
2,20,2.0
2,21,5.0
2,22,4.0
2,23,2.0
2,24,3.0
2,25,3.0
2,26,3.0
2,27,2.0
2,28,4.0
2,29,4.0
2,30,4.0
2,31,3.0
2,32,2.0
2,33,2.0
2,34,4.0
2,35,4.0
3,1,5.0
3,2,4.0
3,3,4.0
3,4,5.0
3,5,5.0
3,6,4.0
3,7,4.0
3,8,4.0
3,9,4.0
3,10,2.0
3,11,4.0
3,12,4.0
3,13,4.0
3,14,4.0
3,15,4.0
3,16,4.0
3,17,4.0
3,18,4.0
3,19,3.0
3,20,4.0
3,21,3.0
3,22,2.0
3,23,4.0
3,24,5.0
3,25,3.0
3,26,4.0
3,27,3.0
3,28,2.0
3,29,4.0
3,30,4.0
3,31,4.0
3,32,2.0
3,33,4.0
3,34,2.0
3,35,5.0
4,1,3.0
4,2,4.0
4,3,3.0
4,4,3.0
4,5,4.0
4,6,1.0
4,7,2.0
4,8,2.0
4,9,3.0
4,10,2.0
4,11,2.0
4,12,4.0
4,13,2.0
4,14,3.0
4,15,5.0
4,16,4.0
4,17,3.0
4,18,3.0
4,19,3.0
4,20,1.0
4,21,3.0
4,22,2.0
4,23,1.0
4,24,1.0
4,25,5.0
4,26,3.0
4,27,3.0
4,28,3.0
4,29,4.0
4,30,5.0
4,31,3.0
4,32,2.0
4,33,2.0
4,34,4.0
4,35,4.0
5,1,3.0
5,2,4.0
5,3,3.0
5,4,3.0
5,5,2.0
5,6,3.0
5,7,3.0
5,8,4.0
5,9,4.0
5,10,2.0
5,11,4.0
5,12,3.0
5,13,4.0
5,14,4.0
5,15,4.0
5,16,4.0
5,17,3.0
5,18,3.0
5,19,4.0
5,20,3.0
5,21,4.0
5,22,3.0
5,23,3.0
5,24,3.0
5,25,3.0
5,26,4.0
5,27,3.0
5,28,3.0
5,29,4.0
5,30,3.0
5,31,3.0
5,32,4.0
5,33,4.0
5,34,4.0
5,35,5.0
6,1,3.0
6,2,4.0
6,3,3.0
6,4,4.0
6,5,3.0
6,6,3.0
6,7,3.0
6,8,4.0
6,9,2.0
6,10,5.0
6,11,3.0
6,12,4.0
6,13,4.0
6,14,4.0
6,15,4.0
6,16,3.0
6,17,3.0
6,18,3.0
6,19,4.0
6,20,2.0
6,21,2.0
6,22,2.0
6,23,1.0
6,24,3.0
6,25,3.0
6,26,4.0
6,27,5.0
6,28,3.0
6,29,4.0
6,30,3.0
6,31,2.0
6,32,1.0
6,33,3.0
6,34,4.0
6,35,4.0
7,1,5.0
7,2,4.0
7,3,5.0
7,4,4.0
7,5,3.0
7,6,3.0
7,7,4.0
7,8,4.0
7,9,4.0
7,10,3.0
7,11,4.0
7,12,3.0
7,13,4.0
7,14,4.0
7,15,5.0
7,16,5.0
7,17,5.0
7,18,5.0
7,19,4.0
7,20,2.0
7,21,4.0
7,22,3.0
7,23,1.0
7,24,1.0
7,25,4.0
7,26,5.0
7,27,4.0
7,28,5.0
7,29,5.0
7,30,4.0
7,31,3.0
7,32,4.0
7,33,4.0
7,34,5.0
7,35,4.0
8,1,5.0
8,2,4.0
8,3,4.0
8,4,3.0
8,5,2.0
8,6,4.0
8,7,2.0
8,8,4.0
8,9,3.0
8,10,3.0
8,11,4.0
8,12,5.0
8,13,4.0
8,14,3.0
8,15,5.0
8,16,4.0
8,17,5.0
8,18,4.0
8,19,5.0
8,20,4.0
8,21,3.0
8,22,2.0
8,23,5.0
8,24,5.0
8,25,4.0
8,26,4.0
8,27,3.0
8,28,5.0
8,29,4.0
8,30,2.0
8,31,2.0
8,32,3.0
8,33,3.0
8,34,4.0
8,35,5.0
9,1,3.0
9,2,4.0
9,3,4.0
9,4,3.0
9,5,4.0
9,6,3.0
9,7,4.0
9,8,3.0
9,9,4.0
9,10,2.0
9,11,2.0
9,12,4.0
9,13,4.0
9,14,5.0
9,15,4.0
9,16,4.0
9,17,4.0
9,18,4.0
9,19,2.0
9,20,3.0
9,21,2.0
9,22,2.0
9,23,2.0
9,24,3.0
9,25,4.0
9,26,3.0
9,27,3.0
9,28,4.0
9,29,3.0
9,30,2.0
9,31,4.0
9,32,3.0
9,33,4.0
9,34,4.0
9,35,5.0
10,1,3.0
10,2,4.0
10,3,4.0
10,4,5.0
10,5,3.0
10,6,2.0
10,7,5.0
10,8,3.0
10,9,3.0
10,10,2.0
10,11,3.0
10,12,3.0
10,13,3.0
10,14,5.0
10,15,5.0
10,16,5.0
10,17,5.0
10,18,5.0
10,19,5.0
10,20,2.0
10,21,5.0
10,22,2.0
10,23,2.0
10,24,3.0
10,25,5.0
10,26,4.0
10,27,3.0
10,28,4.0
10,29,4.0
10,30,5.0
10,31,4.0
10,32,2.0
10,33,2.0
10,34,5.0
10,35,5.0
11,1,4.0
11,2,4.0
11,3,4.0
11,4,4.0
11,5,4.0
11,6,4.0
11,7,4.0
11,8,4.0
11,9,4.0
11,10,4.0
11,11,4.0
11,12,4.0
11,13,4.0
11,14,4.0
11,15,4.0
11,16,4.0
11,17,4.0
11,18,4.0
11,19,4.0
11,20,4.0
11,21,4.0
11,22,4.0
11,23,4.0
11,24,4.0
11,25,4.0
11,26,4.0
11,27,4.0
11,28,4.0
11,29,4.0
11,30,4.0
11,31,4.0
11,32,4.0
11,33,4.0
11,34,4.0
11,35,4.0
12,1,2.0
12,2,5.0
12,3,5.0
12,4,4.0
12,5,4.0
12,6,3.0
12,7,4.0
12,8,4.0
12,9,3.0
12,10,3.0
12,11,4.0
12,12,3.0
12,13,4.0
12,14,5.0
12,15,5.0
12,16,4.0
12,17,4.0
