,userID,qID,ratings,questions,field
0,1,1,4.0,question1,TVL-ICT
1,2,1,3.0,question1,TVL-ICT
2,3,1,5.0,question1,TVL-ICT
3,4,1,3.0,question1,TVL-ICT
4,5,1,3.0,question1,TVL-ICT
5,6,1,3.0,question1,TVL-ICT
6,7,1,5.0,question1,TVL-ICT
7,8,1,5.0,question1,TVL-ICT
8,9,1,3.0,question1,TVL-ICT
9,10,1,3.0,question1,TVL-ICT
10,11,1,4.0,question1,TVL-ICT
11,12,1,2.0,question1,TVL-ICT
12,13,1,3.0,question1,TVL-ICT
13,14,1,3.0,question1,TVL-ICT
14,15,1,5.0,question1,TVL-ICT
15,16,1,5.0,question1,TVL-ICT
16,17,1,2.0,question1,TVL-ICT
17,18,1,4.0,question1,TVL-ICT
18,19,1,5.0,question1,TVL-ICT
19,20,1,5.0,question1,TVL-ICT
20,21,1,4.0,question1,TVL-ICT
21,22,1,4.0,question1,TVL-ICT
22,23,1,3.0,question1,TVL-ICT
23,24,1,4.0,question1,TVL-ICT
24,25,1,3.0,question1,TVL-ICT
25,26,1,5.0,question1,TVL-ICT
26,27,1,2.0,question1,TVL-ICT
27,28,1,5.0,question1,TVL-ICT
28,29,1,3.0,question1,TVL-ICT
29,30,1,4.0,question1,TVL-ICT
30,31,1,3.0,question1,TVL-ICT
31,32,1,5.0,question1,TVL-ICT
32,33,1,5.0,question1,TVL-ICT
33,34,1,5.0,question1,TVL-ICT
34,35,1,3.0,question1,TVL-ICT
35,36,1,3.0,question1,TVL-ICT
36,37,1,2.0,question1,TVL-ICT
37,38,1,2.0,question1,TVL-ICT
38,39,1,3.0,question1,TVL-ICT
39,40,1,4.0,question1,TVL-ICT
40,41,1,5.0,question1,TVL-ICT
41,42,1,4.0,question1,TVL-ICT
42,43,1,4.0,question1,TVL-ICT
43,44,1,5.0,question1,TVL-ICT
44,45,1,4.0,question1,TVL-ICT
45,46,1,5.0,question1,TVL-ICT
46,47,1,4.0,question1,TVL-ICT
47,48,1,4.0,question1,TVL-ICT
48,49,1,1.0,question1,TVL-ICT
49,50,1,3.0,question1,TVL-ICT
50,51,1,5.0,question1,TVL-ICT
51,52,1,5.0,question1,TVL-ICT
52,53,1,5.0,question1,TVL-ICT
53,54,1,4.0,question1,TVL-ICT
54,55,1,5.0,question1,TVL-ICT
55,56,1,5.0,question1,TVL-ICT
56,57,1,4.0,question1,TVL-ICT
57,58,1,2.0,question1,TVL-ICT
58,59,1,5.0,question1,TVL-ICT
59,60,1,5.0,question1,TVL-ICT
60,61,1,4.0,question1,TVL-ICT
61,62,1,3.0,question1,TVL-ICT
62,63,1,3.0,question1,TVL-ICT
63,64,1,5.0,question1,TVL-ICT
64,65,1,4.0,question1,TVL-ICT
65,66,1,4.0,question1,TVL-ICT
66,67,1,4.0,question1,TVL-ICT
67,68,1,4.0,question1,TVL-ICT
68,69,1,5.0,question1,TVL-ICT
69,70,1,4.0,question1,TVL-ICT
70,71,1,4.0,question1,TVL-ICT
71,72,1,4.0,question1,TVL-ICT
72,73,1,4.0,question1,TVL-ICT
73,74,1,4.0,question1,TVL-ICT
74,75,1,4.0,question1,TVL-ICT
75,76,1,3.0,question1,TVL-ICT
76,77,1,2.0,question1,TVL-ICT
77,78,1,3.0,question1,TVL-ICT
78,79,1,4.0,question1,TVL-ICT
79,80,1,3.0,question1,TVL-ICT
80,81,1,4.0,question1,TVL-ICT
81,82,1,4.0,question1,TVL-ICT
82,83,1,3.0,question1,TVL-ICT
83,84,1,4.0,question1,TVL-ICT
84,85,1,1.0,question1,TVL-ICT
85,86,1,3.0,question1,TVL-ICT
86,87,1,3.0,question1,TVL-ICT
87,88,1,5.0,question1,TVL-ICT
88,89,1,3.0,question1,TVL-ICT
89,90,1,3.0,question1,TVL-ICT
90,91,1,5.0,question1,TVL-ICT
91,92,1,3.0,question1,TVL-ICT
92,93,1,4.0,question1,TVL-ICT
93,94,1,4.0,question1,TVL-ICT
94,95,1,3.0,question1,TVL-ICT
95,96,1,4.0,question1,TVL-ICT
96,97,1,4.0,question1,TVL-ICT
97,98,1,5.0,question1,TVL-ICT
98,99,1,5.0,question1,TVL-ICT
99,100,1,3.0,question1,TVL-ICT
100,101,1,3.0,question1,TVL-ICT
101,102,1,4.0,question1,TVL-ICT
102,103,1,4.0,question1,TVL-ICT
103,104,1,4.0,question1,TVL-ICT
104,105,1,3.0,question1,TVL-ICT
105,106,1,2.0,question1,TVL-ICT
106,107,1,2.0,question1,TVL-ICT
107,108,1,4.0,question1,TVL-ICT
108,109,1,4.0,question1,TVL-ICT
109,110,1,4.0,question1,TVL-ICT
110,111,1,4.0,question1,TVL-ICT
111,112,1,4.0,question1,TVL-ICT
112,113,1,3.0,question1,TVL-ICT
113,114,1,3.0,question1,TVL-ICT
114,115,1,4.0,question1,TVL-ICT
115,116,1,3.0,question1,TVL-ICT
116,117,1,4.0,question1,TVL-ICT
117,118,1,4.0,question1,TVL-ICT
118,119,1,4.0,question1,TVL-ICT
119,120,1,3.0,question1,TVL-ICT
120,121,1,4.0,question1,TVL-ICT
121,122,1,5.0,question1,TVL-ICT
122,123,1,3.0,question1,TVL-ICT
123,124,1,3.0,question1,TVL-ICT
124,125,1,3.0,question1,TVL-ICT
125,126,1,3.0,question1,TVL-ICT
126,127,1,3.0,question1,TVL-ICT
127,128,1,2.0,question1,TVL-ICT
128,129,1,2.0,question1,TVL-ICT
129,130,1,4.0,question1,TVL-ICT
130,131,1,2.0,question1,TVL-ICT
131,132,1,3.0,question1,TVL-ICT
132,133,1,1.0,question1,TVL-ICT
133,134,1,4.0,question1,TVL-ICT
134,135,1,4.0,question1,TVL-ICT
135,136,1,4.0,question1,TVL-ICT
136,137,1,2.0,question1,TVL-ICT
137,138,1,2.0,question1,TVL-ICT
138,139,1,4.0,question1,TVL-ICT
139,140,1,3.0,question1,TVL-ICT
140,141,1,3.0,question1,TVL-ICT
141,142,1,3.0,question1,TVL-ICT
142,143,1,2.0,question1,TVL-ICT
143,144,1,3.0,question1,TVL-ICT
144,145,1,3.0,question1,TVL-ICT
